"DAY","CELL_NAME","ENBNAME","FDD_TDD","DL_EARFCN","MMM","LTE_CONG"
16/07/23,"CHT120_L5","CHT120","CELL_FDD",3250,"07-2023",0
16/07/23,"FES042_L6","FES042","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1279_L2","CAS1279","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1279_L1","CAS1279","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN027_TDD_L2","TAN027","CELL_TDD",41825,"07-2023",0
16/07/23,"TAN007_TDD_L2","TAN007","CELL_TDD",41825,"07-2023",0
16/07/23,"TET845_L2","TET845","CELL_FDD",1850,"07-2023",0
16/07/23,"KEN085_TDD_L1","KEN085","CELL_TDD",41825,"07-2023",0
16/07/23,"KEN006_TDD_L3","KEN006","CELL_TDD",41825,"07-2023",0
16/07/23,"CAS1702_L3","CAS1702","CELL_FDD",1850,"07-2023",0
16/07/23,"FES1096_L3","FES1096","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN9053_L6","TAN9053","CELL_FDD",3250,"07-2023",0
16/07/23,"DRI001_L5","DRI001","CELL_FDD",3250,"07-2023",0
16/07/23,"KBG046_L3","KBG046","CELL_FDD",1850,"07-2023",1
16/07/23,"FES1092_L3","FES1092","CELL_FDD",1850,"07-2023",0
16/07/23,"FES993_L2","FES993","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN9033_L4","TAN9033","CELL_FDD",3250,"07-2023",0
16/07/23,"ASI367_L4","ASI367","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN9071_L5","TAN9071","CELL_FDD",3250,"07-2023",0
16/07/23,"CA070_L3","CA070","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN016_L5","TAN016","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK402_L7","MEK402","CELL_FDD",6200,"07-2023",0
16/07/23,"FES1034_L6","FES1034","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN996_L4","TAN996","CELL_FDD",3250,"07-2023",0
16/07/23,"OUR109_L1","OUR109","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS103_L8","CAS103","CELL_FDD",6200,"07-2023",0
16/07/23,"KEN204_L7","KEN204","CELL_FDD",6200,"07-2023",0
16/07/23,"KEN207_L7","KEN207","CELL_FDD",6200,"07-2023",1
16/07/23,"KAS001_L8","KAS001","CELL_FDD",6200,"07-2023",0
16/07/23,"SMI100_L9","SMI100","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1015_L8","CAS1015","CELL_FDD",6200,"07-2023",0
16/07/23,"ESS110_L9","ESS110","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1131_L7","CAS1131","CELL_FDD",6200,"07-2023",0
16/07/23,"BEN205_L8","BEN205","CELL_FDD",6200,"07-2023",0
16/07/23,"BEN205_L7","BEN205","CELL_FDD",6200,"07-2023",1
16/07/23,"FE029_L7","FE029","CELL_FDD",6200,"07-2023",1
16/07/23,"TAN9066_L4","TAN9066","CELL_FDD",3250,"07-2023",0
16/07/23,"TAN993_L7","TAN993","CELL_FDD",6200,"07-2023",1
16/07/23,"MEK670_L1","MEK670","CELL_FDD",1850,"07-2023",0
16/07/23,"TEM033_TDD_L6","TEM033","CELL_TDD",42825,"07-2023",0
16/07/23,"CAS1257_L1","CAS1257","CELL_FDD",1850,"07-2023",0
16/07/23,"MEK370_L8","MEK370","CELL_FDD",6200,"07-2023",1
16/07/23,"RAB071_L1","RAB071","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB107_L1","RAB107","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB107_L3","RAB107","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN074_L1","TAN074","CELL_FDD",1850,"07-2023",1
16/07/23,"AGA047_L2_4T4R","AGA047","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN122_L2","TAN122","CELL_FDD",1850,"07-2023",1
16/07/23,"MAR954_L1","MAR954","CELL_FDD",1850,"07-2023",0
16/07/23,"ERR841_L2","ERR841","CELL_FDD",1850,"07-2023",0
16/07/23,"FNI012_L3","FNI012","CELL_FDD",1850,"07-2023",0
16/07/23,"ASI371_L3","ASI371","CELL_FDD",1850,"07-2023",0
16/07/23,"TAN9141_L6","TAN9141","CELL_FDD",3250,"07-2023",1
16/07/23,"MEK644_L6","MEK644","CELL_FDD",3250,"07-2023",0
16/07/23,"TET873_L5","TET873","CELL_FDD",3250,"07-2023",0
16/07/23,"TAO933_L4","TAO933","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1313_TDD_L103","CAS1313","CELL_TDD",41825,"07-2023",0
16/07/23,"BEN916_L9","BEN916","CELL_FDD",6200,"07-2023",1
16/07/23,"BEN916_L7","BEN916","CELL_FDD",6200,"07-2023",0
16/07/23,"SAF655_L4","SAF655","CELL_FDD",3250,"07-2023",0
16/07/23,"SAF655_L5","SAF655","CELL_FDD",3250,"07-2023",0
16/07/23,"AHF001_L2","AHF001","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS160_L7","CAS160","CELL_FDD",6200,"07-2023",0
16/07/23,"TAN043_L7","TAN043","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1133_L7","MAR1133","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1308_L5","CAS1308","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1139_L2","CAS1139","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1044_L7","CAS1044","CELL_FDD",6200,"07-2023",0
16/07/23,"SAI110_L2","SAI110","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB943_L2","RAB943","CELL_FDD",1850,"07-2023",0
16/07/23,"MEK369_L1","MEK369","CELL_FDD",1850,"07-2023",0
16/07/23,"JAD984_L2","JAD984","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR1053_L9","MAR1053","CELL_FDD",6200,"07-2023",0
16/07/23,"FES081_TDD_L1","FES081","CELL_TDD",41825,"07-2023",0
16/07/23,"CAS1529_L8","CAS1529","CELL_FDD",6200,"07-2023",0
16/07/23,"BEN144_L8","BEN144","CELL_FDD",6200,"07-2023",0
16/07/23,"AGA1145_L6","AGA1145","CELL_FDD",3250,"07-2023",0
